title,year,authors,journal,cited_by,link,classifier_confidence,replicated_paper,method_description,result_description
Consumers' perceptions of risks associated with the use of Airbnb before and during the COVID-19 pandemic,2021,C Deale,"SH Lee, C Deale - International Hospitality Review, 2021 - emerald.com",71,https://www.emerald.com/insight/content/doi/10.1108/ihr-09-2020-0056/full/html,high,Not identifiable from abstract,Method not specified in abstract,Result not specified in abstract
Empirical audit and review and an assessment of evidentiary value in research on the psychological consequences of scarcity,2021,"M O'Donnell, AS Dev, S Antonoplis","M O'Donnell, AS Dev, S Antonoplis, SM Baum… - Proceedings of the …, 2021 - pnas.org",62,https://www.pnas.org/doi/abs/10.1073/pnas.2103313118,high,Not identifiable from abstract,Method not specified in abstract,effect significance noted
Framing economic inequality and policy as group disadvantages (versus group advantages) spurs support for action,2021,"P Dietze, MA Craig","P Dietze, MA Craig - Nature Human Behaviour, 2021 - nature.com",58,https://www.nature.com/articles/s41562-020-00988-4,high,"Lowery et al. (2012): ""Paying for positive group esteem: how inequity frames affect whites’ r""; Chow et al. (2012): ""The effect of inequality frames on support for redistributive tax poli""",pre-registered replication,Result not specified in abstract
Revisiting trust and privacy concern in consumers' perceptions of marketing information management practices: Replication and extension,2021,"K Swani, GR Milne","K Swani, GR Milne… - Journal of Interactive …, 2021 - journals.sagepub.com",56,https://journals.sagepub.com/doi/abs/10.1016/j.intmar.2021.03.001,high,"Milne et al. (1999): ""Trust and privacy concern in consumers' perceptions of marketing infor""",Method not specified in abstract,partially replicates
"Children, unhappiness and family finances",2021,"DG Blanchflower, AE Clark","DG Blanchflower, AE Clark - Journal of Population Economics, 2021 - Springer",52,https://link.springer.com/article/10.1007/s00148-020-00798-y,medium,"Aassve et al. (2012): ""Happiness and childbearing across Europe""; Aassve et al. (2015): ""Institutional change, happiness, and fertility""; Alesina et al. (2004): ""Inequality and happiness: are Europeans and Americans different?""",Method not specified in abstract,"… We replicate this result, both in regressions that control for income and ones that do not"
Hysteresis from employer subsidies,2021,"E Saez, B Schoefer, D Seim","E Saez, B Schoefer, D Seim - Journal of Public Economics, 2021 - Elsevier",52,https://www.sciencedirect.com/science/article/pii/S0047272721000955,high,Not identifiable from abstract,Method not specified in abstract,We replicate previous results …
Does institutional quality foster economic complexity?,2021,TV Vu,"TV Vu - Available at SSRN 3509939, 2021 - papers.ssrn.com",50,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3509939,medium,Not identifiable from abstract,Method not specified in abstract,Result not specified in abstract
"Economic freedom, pandemics, and robust political economy",2021,"RA Candela, V Geloso","RA Candela, V Geloso - Southern economic journal, 2021 - Wiley Online Library",49,https://onlinelibrary.wiley.com/doi/abs/10.1002/soej.12489,high,Not identifiable from abstract,Method not specified in abstract,Result not specified in abstract
Do voters benchmark economic performance?,2021,"V Arel-Bundock, A Blais","V Arel-Bundock, A Blais… - British Journal of Political …, 2021 - cambridge.org",45,https://www.cambridge.org/core/journals/british-journal-of-political-science/article/do-voters-benchmark-economic-performance/06D5A3E96223FAA78AD32D237ABD8ECA,medium,Not identifiable from abstract,Method not specified in abstract,"… In the online appendix, we replicate the eight regression models that KP estimated using … In the online appendix, we replicate all twelve of KP's i"
Effect of air pollution on health care expenditure: Evidence from respiratory diseases,2021,"YM Liu, CK Ao","YM Liu, CK Ao - Health Economics, 2021 - Wiley Online Library",41,https://onlinelibrary.wiley.com/doi/abs/10.1002/hec.4221,medium,Not identifiable from abstract,Method not specified in abstract,"… , we replicate the first-stage and second-stage results using the linear weather controls in columns 1 to 3 and columns 4 to 6"
"Misremembering Weimar: Hyperinflation, the great depression, and German collective economic memory",2021,"L Haffert, N Redeker, T Rommel","L Haffert, N Redeker, T Rommel - Economics & Politics, 2021 - Wiley Online Library",41,https://onlinelibrary.wiley.com/doi/abs/10.1111/ecpo.12182,low,Not identifiable from abstract,Method not specified in abstract,Result not specified in abstract
Entrepreneurs' competencies and networking as determinants of women-owned ventures success in post-economic crisis era in Greece,2021,"N Mylonas, E Petridou","L Kyrgidou, N Mylonas, E Petridou… - Journal of Research in …, 2021 - emerald.com",39,https://www.emerald.com/insight/content/doi/10.1108/JRME-08-2020-0105/full/html,high,"Wiklund et al. (2005): ""Entrepreneurial Orientation and Small Business Performance: A Configur""",Method not specified in abstract,Result not specified in abstract
"Is knowledge capital theory degenerate? PIAAC, PISA, and economic growth",2021,H Komatsu,"J Rappleye, H Komatsu - Compare: A Journal of Comparative and …, 2021 - Taylor & Francis",37,https://www.tandfonline.com/doi/shareview/10.1080/03057925.2019.1612233,high,"H&W (Unkn): ""Unknown Title""",One possible reason could be that although we … We did so merely to replicate the procedures of H&W to examine the validity of the,fails to replicate
Democracy and deforestation: the role of spillover effects,2021,"M Cary, FV Bekun","M Cary, FV Bekun - Forest Policy and Economics, 2021 - Elsevier",35,https://www.sciencedirect.com/science/article/pii/S1389934121000046,high,Not identifiable from abstract,Method not specified in abstract,original result may be spurious
The intergenerational transmission of cognitive skills: An investigation of the causal impact of families on student outcomes,2021,"EA Hanushek, B Jacobs, G Schwerdt","EA Hanushek, B Jacobs, G Schwerdt… - 2021 - nber.org",35,https://www.nber.org/papers/w29450,low,"Hanushek et al. (2016): ""Cognitive Skills, Economic Outcomes, and Intergenerational Transmissio""",Method not specified in abstract,Result not specified in abstract
Closing a mental account: The realization effect for gains and losses,2021,"C Merkle, M Weber","C Merkle, J Müller-Dethard, M Weber - Experimental Economics, 2021 - Springer",34,https://link.springer.com/article/10.1007/s10683-020-09663-x,low,"Imas & A. (2016): ""The realization effect""",Method not specified in abstract,"… In the first experiment, we replicate the main experiment by Imas (2016) using an identical … The importance of replication for scientific progress "
"The Effect of Beta, and Residual Income on Stock Return in The Manufacturing Industry in The Indonesia Stock Exchange",2021,"MS Nasution, AK Ulfah, T Nadilla","MS Nasution, AK Ulfah, T Nadilla… - Enrichment …, 2021 - enrichment.iocspublisher.org",30,http://enrichment.iocspublisher.org/index.php/enrichment/article/view/169,high,"Pradhono et al. (2004): ""Pengaruh Economic Value Added, Residual Income, Earnings dan Arus Kas """,Method not specified in abstract,directional effect found; effect significance noted
"Replicating the Disease framing problem during the 2020 COVID-19 pandemic: A study of stress, worry, trust, and choice under risk",2021,"NR Rachev, H Han, D Lacko, R Gelpí, Y Yamada","NR Rachev, H Han, D Lacko, R Gelpí, Y Yamada… - PLoS …, 2021 - journals.plos.org",30,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0257151,high,"Tversky et al. (1981): ""The framing of decisions and the psychology of choice""",Method not specified in abstract,Result not specified in abstract
Do corporate taxes harm economic performance? Explaining distortions in R&D-and export-intensive UK firms,2021,"I Bournakis, S Mallick","I Bournakis, S Mallick - Macroeconomic Dynamics, 2021 - cambridge.org",30,https://www.cambridge.org/core/journals/macroeconomic-dynamics/article/do-corporate-taxes-harm-economic-performance-explaining-distortions-in-rd-and-exportintensive-uk-firms/DCEF14A9D6345A91DA473FAC527B7C41,high,"Bournakis et al. (2021): ""Multinationals and Domestic TFP: Market Shares, Agglomerations Gains a""","… To provide a more systematic treatment of endogeneity and measurement bias, we replicate results of Table 1 using a generalized ","… To provide a more systematic treatment of endogeneity and measurement bias, we replicate results of Table 1 using a generalized method of moments (G"
"Who supports redistribution? Replicating and refining effects of compassion, malicious envy, and self-interest",2021,"CA Lin, TC Bates","CA Lin, TC Bates - Evolution and Human Behavior, 2021 - Elsevier",25,https://www.sciencedirect.com/science/article/pii/S1090513820301021,high,Not identifiable from abstract,close replication,closely replicates
Stereotype threat effects on Italian girls' mathematics performance: A failure to replicate.,2021,,"F Agnoli, F Melchiorre… - Developmental …, 2021 - psycnet.apa.org",23,https://psycnet.apa.org/record/2021-77666-009,high,"Steele et al. (1995): ""Stereotype threat and the intellectual test performance of African Ame""",new/different dataset; larger sample/higher power,Result not specified in abstract
Curse of democracy: Evidence from 2020,2021,Y Narita,"Y Narita, A Sudo - Available at SSRN 3827327, 2021 - papers.ssrn.com",23,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3827327,medium,Not identifiable from abstract,"Many … find that democracy causes worse economic and public health … covers 71 countries, we replicate their data gathering proces","Many … find that democracy causes worse economic and public health … covers 71 countries, we replicate their data gathering process …"
Self-control and financial risk taking,2021,"K Sekścińska, J Rudzinska-Wojciechowska","K Sekścińska, J Rudzinska-Wojciechowska… - Journal of Economic …, 2021 - Elsevier",23,https://www.sciencedirect.com/science/article/pii/S0167487021000246,high,Not identifiable from abstract,conceptual replication,Result not specified in abstract
Patenting activity or innovative originality?,2021,"A Bedford, L Ma, N Ma, K Vojvoda","A Bedford, L Ma, N Ma, K Vojvoda - Accounting & Finance, 2021 - Wiley Online Library",21,https://onlinelibrary.wiley.com/doi/abs/10.1111/acfi.12730,low,Not identifiable from abstract,Method not specified in abstract,"… On one hand, we expect innovative Australian firms to be able to generate higher economic … the models that we replicate"
Economic globalization and decentralization: A centrifugal or centripetal relationship?,2021,"I Jurado, S León","I Jurado, S León - Governance, 2021 - Wiley Online Library",21,https://onlinelibrary.wiley.com/doi/abs/10.1111/gove.12496,medium,Not identifiable from abstract,Method not specified in abstract,effect significance noted
Future profitability and stock returns of innovative firms in Australia,2021,"A Bedford, L Ma, N Ma, K Vojvoda","A Bedford, L Ma, N Ma, K Vojvoda - Pacific-Basin Finance Journal, 2021 - Elsevier",20,https://www.sciencedirect.com/science/article/pii/S0927538X21000159,high,"Hirshleifer et al. (2018): ""The impact of innovation on future profitability and stock returns""",Method not specified in abstract,confirms original findings
Gender Differences in Sport Fans: A Replication and Extension.,2021,B Dietz,"B Dietz, J Bean, M Omaits - Journal of Sport Behavior, 2021 - search.ebscohost.com",20,https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=01627341&AN=153200960&h=SWfxUwsUXOiqTda59%2FWc2cHAzx2p5QWkRwsSU8dbH2m76bQ27DIgov6yBHQAnQbVPOzJ%2FdnhX%2BvlK47%2BthsA0w%3D%3D&crl=c,high,"Dietz-Uhler et al. (2000): ""The Relationship Between Sport Fan Identification and the Social Ident""",Method not specified in abstract,replicates and extends original
Economic evaluation of the sFlt-1/PlGF ratio for the short-term prediction of preeclampsia in a Japanese cohort of the PROGNOSIS Asia study,2021,A Ohkuchi,"A Ohkuchi, H Masuyama, T Yamamoto… - Hypertension …, 2021 - nature.com",19,https://www.nature.com/articles/s41440-021-00624-2,high,Not identifiable from abstract,Method not specified in abstract,effect significance noted
"Revisiting “money illusion”: Replication and extension of Shafir, Diamond, and Tversky (1997)",2021,I Ziano,"I Ziano, J Li, SM Tsun, HC Lei, AA Kamath… - Journal of Economic …, 2021 - Elsevier",18,https://www.sciencedirect.com/science/article/pii/S0167487020301069,high,"Shafir et al. (1997): ""Money Illusion""",Method not specified in abstract,not fully replicated; successfully replicates
"Exchange rate misalignment, state fragility, and economic growth in sub-Saharan Africa",2021,BT Mazorodze,"BT Mazorodze - Cogent Economics & Finance, 2021 - Taylor & Francis",18,https://www.tandfonline.com/doi/abs/10.1080/23322039.2021.1898113,high,"Elbadawi et al. (2010): ""Exchange Rate Misalignment and Economic Growth in Sub-Saharan Africa""",Method not specified in abstract,Result not specified in abstract
Is smart beta investing profitable? evidence from the Nordic stock market,2021,"K Grobys, J Äijö","V Silvasti, K Grobys, J Äijö - Applied economics, 2021 - Taylor & Francis",18,https://www.tandfonline.com/doi/abs/10.1080/00036846.2020.1853669,low,Not identifiable from abstract,Method not specified in abstract,This is not surprising … We replicate Tables 8 and 9 and report in Tables 10 and 11 …
Last word not yet spoken: a reinvestigation of last place aversion with aversion to rank reversals,2021,"AFM Martinangeli, L Windsteiger","AFM Martinangeli, L Windsteiger - Experimental Economics, 2021 - Springer",17,https://link.springer.com/article/10.1007/s10683-020-09682-8,high,"Kuziemko et al. (2014): ""The Effect of Relative Status on the Willingness to Redistribute""",follows original specification,"… To do so, we replicate KBRN's design but ask subjects to … a replication of their original design to serve as a benchmark: As ranks can be inverted "
"The cash flow sensitivity of cash: Replication, extension, and robustness",2021,"H Almeida, M Campello","H Almeida, M Campello… - Fisher College of Business …, 2021 - papers.ssrn.com",17,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3773591,high,"Almeida et al. (2004): ""The cash flow sensitivity of cash""","… Our results have been replicated multiple times in the past, using data from several different … In this paper, we replicate the","… Our results have been replicated multiple times in the past, using data from several different … In this paper, we replicate the empirical tests of "
Non‐Pecuniary Effects of Sugar‐Sweetened Beverage Policies,2021,"S Ahn, JL Lusk","S Ahn, JL Lusk - American Journal of Agricultural Economics, 2021 - Wiley Online Library",17,https://onlinelibrary.wiley.com/doi/abs/10.1111/ajae.12134,medium,Not identifiable from abstract,Method not specified in abstract,Result not specified in abstract
The impact of economic complexity on the formation of environmental culture,2021,"A Lapatinas, A Litina, S Zanaj","A Lapatinas, A Litina, S Zanaj - Sustainability, 2021 - mdpi.com",17,https://www.mdpi.com/2071-1050/13/2/870,medium,Not identifiable from abstract,"… we replicate the benchmark analysis using as a proxy of a country's level of economic complexity, … as “the cultural implication","… we replicate the benchmark analysis using as a proxy of a country's level of economic complexity, … as “the cultural implications of ECI” we replica"
Domain-general cognitive motivation: evidence from economic decision-making,2021,"JL Crawford, JE Peelle","JL Crawford, SA Eisenstein, JE Peelle… - … Research: Principles and …, 2021 - Springer",16,https://link.springer.com/article/10.1186/s41235-021-00272-7,low,"Cacioppo et al. (1982): ""The Need for Cognition""; Kool et al. (2014): ""Decision making and the avoidance of cognitive effort""; Westbrook et al. (2015): ""Cognitive effort and the regulation of cognitive control""","… This analysis will serve to replicate the initial finding in our pilot sample, which showed a strong association between the sub",Result not specified in abstract
Self‐stated recovery from flooding: Empirical results from a survey in Central Vietnam,2021,"P Hudson, L Hagedoorn","P Hudson, M Pham, L Hagedoorn… - Journal of Flood Risk …, 2021 - Wiley Online Library",16,https://onlinelibrary.wiley.com/doi/abs/10.1111/jfr3.12680,high,"Bubeck et al. (2018): ""The influence of flood experience on the recovery process: A case stud""",conceptual replication,Result not specified in abstract
Analyzing the reliability of Chinese outward FDI studies: A replication approach,2021,"J Anderson, D Sutherland, F Zhang","J Anderson, D Sutherland, F Zhang… - critical perspectives on …, 2021 - emerald.com",16,https://www.emerald.com/insight/content/doi/10.1108/cpoib-11-2019-0088/full/html,high,Not identifiable from abstract,Method not specified in abstract,Result not specified in abstract
Replication: Emotional well-being and unemployment–Evidence from the American time-use survey,2021,A Knabe,"TTA Hoang, A Knabe - Journal of economic psychology, 2021 - Elsevier",15,https://www.sciencedirect.com/science/article/pii/S0167487021000039,high,Not identifiable from abstract,Method not specified in abstract,Result not specified in abstract
Loneliness and healthcare use in older adults: Evidence from a nationally representative cohort in northern Ireland—A cross-sectional replication study,2021,"A Burns, G Leavey, R O'Sullivan","A Burns, G Leavey, R O'Sullivan - Frontiers in public health, 2021 - frontiersin.org",15,https://www.frontiersin.org/articles/10.3389/fpubh.2021.620264/full,high,"Burns et al. (2021): ""Loneliness and healthcare use in older adults: Evidence from a nationa""; Burns et al. (2020): ""Loneliness and healthcare use in older adults: Evidence from a longitu""",Method not specified in abstract,mixed results
"A data-driven analysis of sociocultural, ecological, and economic correlates of depression across nations",2021,A Wei,"Z Li, A Wei, V Palanivel… - Journal of Cross-Cultural …, 2021 - journals.sagepub.com",15,https://journals.sagepub.com/doi/abs/10.1177/00220221211040243,high,Not identifiable from abstract,Method not specified in abstract,Result not specified in abstract
Economic crisis and attitudes towards democracy: How ideology moderates reactions to economic downturns,2021,"I Jurado, RM Navarrete","I Jurado, RM Navarrete - Frontiers in Political Science, 2021 - frontiersin.org",14,https://www.frontiersin.org/articles/10.3389/fpos.2021.685199/full,medium,Not identifiable from abstract,survey data,"… , in Table 3 we replicate the same … economic performance"
Contingent determinants,2021,,"R Maseland - Journal of Development Economics, 2021 - Elsevier",14,https://www.sciencedirect.com/science/article/pii/S030438782100033X,low,Not identifiable from abstract,Method not specified in abstract,Result not specified in abstract
The effects of language on patience: An experimental replication study of the linguistic-savings hypothesis in Austria,2021,"D Glätzle-Rützler, P Lergetporer","S Angerer, D Glätzle-Rützler, P Lergetporer… - … of the Economic …, 2021 - cambridge.org",13,https://www.cambridge.org/core/journals/journal-of-the-economic-science-association/article/effects-of-language-on-patience-an-experimental-replication-study-of-the-linguisticsavings-hypothesis-in-austria/B4921969CF497425BCD4895C778D4E6B,high,"Chen et al. (2019): ""The effect of future-oriented language on incentivized intertemporal c""",Method not specified in abstract,Result not specified in abstract
"Replication of published health economic obesity models: assessment of facilitators, hurdles and reproduction success",2021,S Evers,"B Schwander, M Nuijten, S Evers, M Hiligsmann - Pharmacoeconomics, 2021 - Springer",13,https://link.springer.com/article/10.1007/s40273-021-01008-7,high,Not identifiable from abstract,"… Replication of Published Health Economic Obesity Models: Assessment of Facilitators, Hurdles and Reproduction Success Original R",Result not specified in abstract
Spot price biases in non-linear health insurance contracts,2021,"M Simonsen, N Skipper","M Simonsen, L Skipper, N Skipper… - … of Public Economics, 2021 - Elsevier",13,https://www.sciencedirect.com/science/article/pii/S0047272721001444,medium,Not identifiable from abstract,Method not specified in abstract,… We replicate both phenomena empirically: consumers both shift the timing of their purchases in response to the end-of-year reset and react excessive
Education quality and the empirics of economic growth: reconciling Mankiw-Romer-Weil estimates with microeconometric evidence,2021,"M Rodrigues, D Souza","M Rodrigues, D Souza - Applied Economics Letters, 2021 - Taylor & Francis",13,https://www.tandfonline.com/doi/abs/10.1080/13504851.2020.1761524,low,"Mankiw et al. (1992): ""A Contribution to the Empirics of Economic Growth""",Method not specified in abstract,Result not specified in abstract
Collective honesty? Experimental evidence on the effectiveness of honesty nudging for teams,2021,M Khadjavi,"Y Dunaiev, M Khadjavi - Frontiers in Psychology, 2021 - frontiersin.org",13,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.684755/full,high,"Shu et al. (2012): ""Lying Aversion and the Size of the Lie""","… A growing literature in economics studies ethical behavior and … We replicate a seminal nudge treatment effect, signing on … Thi","… A growing literature in economics studies ethical behavior and … We replicate a seminal nudge treatment effect, signing on … This is not the treatme"
Embracing the dark side? Testing the socialization of a maximizing mindset,2021,E Spiegelman,"E Spiegelman - Economic Inquiry, 2021 - Wiley Online Library",13,https://onlinelibrary.wiley.com/doi/abs/10.1111/ecin.12958,medium,Not identifiable from abstract,Method not specified in abstract,"… Previous literature suggests an “economist effect”: business and economics students … Although we replicate the previous behavioral result, we find "
Journal-based replication of experiments: An application to “Being Chosen to Lead”,2021,"A Drazen, A Dreber, EY Ozbay, E Snowberg","A Drazen, A Dreber, EY Ozbay, E Snowberg - Journal of Public Economics, 2021 - Elsevier",13,https://www.sciencedirect.com/science/article/pii/S0047272721001183,high,Not identifiable from abstract,Method not specified in abstract,Result not specified in abstract
Revisiting status quo bias: Replication of Samuelson and Zeckhauser (1988)‎,2021,"Q Xiao, G Feldman","Q Xiao, CS Lam, M Piara, G Feldman - Meta-Psychology, 2021 - conferences.lnu.se",12,https://conferences.lnu.se/index.php/metapsychology/article/view/2470,high,"Samuelson et al. (1988): ""Status Quo Bias in Decision Making""",pre-registered replication,"We found strong empirical support for the status quo bias in three decision scenarios out of the four, including budget allocation (Scenario 1/Questio"
Recalculating...: How uncertainty in local labour market definitions affects empirical findings,2021,"A Foote, MJ Kutzbach","A Foote, MJ Kutzbach, L Vilhuber - Applied Economics, 2021 - Taylor & Francis",12,https://www.tandfonline.com/doi/abs/10.1080/00036846.2020.1841083,high,"Unknown & Author (1990): ""Title of the original TS1990 zones study""",Method not specified in abstract,Result not specified in abstract
A field experiment on dishonesty: A registered replication of Azar et al.(2013),2021,"J Prochazka, P Houdek","J Prochazka, Y Fedoseeva, P Houdek - … and Experimental Economics, 2021 - Elsevier",11,https://www.sciencedirect.com/science/article/pii/S2214804320306601,high,"Azar et al. (2013): ""Dishonesty in the Field: An Experiment on Dishonesty in the Czech Repu""",field experiment,Result not specified in abstract
Economic news: Antecedents and effects,2021,"R Vliegenthart, A Damstra, M Boukes, J Jonkman","R Vliegenthart, A Damstra, M Boukes, J Jonkman - 2021 - cambridge.org",11,https://www.cambridge.org/core/elements/economic-news/DB9E9958C47FDD2FBFFD6AF2D88488DC,medium,"Boukes et al. (2019): ""Media effects across time and subject: How news coverage affects two o""",Method not specified in abstract,"… Therefore, we replicate the analyses as presented in Table 4 and include an additional interaction between media coverage and changes in unemploymen"
"An examination of genetic and environmental factors related to negative personality traits, educational attainment, and economic success.",2021,"MC Stallings, T Neppl","MC Stallings, T Neppl - Developmental psychology, 2021 - psycnet.apa.org",11,https://psycnet.apa.org/record/2021-14131-005,high,Not identifiable from abstract,Method not specified in abstract,effect significance noted
Introduction: The value of children and social transformations in Asia,2021,X Gu,"X Gu - Child Indicators Research, 2021 - Springer",10,https://link.springer.com/article/10.1007/s12187-021-09806-3,high,"Arnold et al. (1975): ""The value of children: A cross-national study""",Method not specified in abstract,Result not specified in abstract
"Institutions, human capital and economic growth",2021,"LJ Uberti, CH Knutsen","LJ Uberti, CH Knutsen - … Palgrave Handbook of Comparative Economics, 2021 - Springer",10,https://link.springer.com/chapter/10.1007/978-3-030-50888-3_18,medium,"Acemoglu et al. (2001): ""The Colonial Origins of Comparative Development""; Acemoglu et al. (2005): ""Unbundling Institutions""; Knack et al. (1995): ""Institutions and Economic Performance: Cross-Country Tests Using Alter""",Method not specified in abstract,"Human capital, … We replicate existing cross-sectional results suggesting that “…"
A replication study on growth paths of young firms: Evidence from German administrative data,2021,"S Schneck, A Werner","S Schneck, A Werner, HJ Wolter - Journal of Business Venturing Insights, 2021 - Elsevier",10,https://www.sciencedirect.com/science/article/pii/S235267342100024X,high,"Fritsch et al. (1999): ""Entrepreneurship in the Region: The Role of Local Institutions""; Brixy et al. (2007): ""The Impact of Firm Age on Growth: Evidence from German Data""",Method not specified in abstract,Result not specified in abstract
Risky choice framing with various problem descriptions: A replication and extension study,2021,L Zhou,"L Zhou, N Liu, YQ Liao, AM Li - Judgment and Decision Making, 2021 - cambridge.org",9,https://www.cambridge.org/core/journals/judgment-and-decision-making/article/risky-choice-framing-with-various-problem-descriptions-a-replication-and-extension-study/F51ED69561D8C2DC734765B94E904A78,high,"Kühberger et al. (2010): ""Risky choice framing: Task versions and a comparison of prospect theor""",Method not specified in abstract,Result not specified in abstract
Economic evaluation of transperineal versus transrectal devices for local anaesthetic prostate biopsies,2021,ECF Wilson,"ECF Wilson, A Wreford, P Tamer, K Leonard… - PharmacoEconomics …, 2021 - Springer",9,https://link.springer.com/article/10.1007/s41669-021-00277-4,low,Not identifiable from abstract,meta-analysis,Result not specified in abstract
Replication: Framing effects in intertemporal choice with children,2021,M Novarese,"V Faralla, M Novarese, V Di Giovinazzo - Journal of Economic Psychology, 2021 - Elsevier",8,https://www.sciencedirect.com/science/article/pii/S0167487020301033,high,"Sutter et al. (2015): ""Framing effects in intertemporal choice""",Method not specified in abstract,Result not specified in abstract
"Measurement error in earnings data: Replication of Meijer, Rohwedder, and Wansbeek's mixture model approach to combining survey and register data",2021,"SP Jenkins, F Rios‐Avila","SP Jenkins, F Rios‐Avila - Journal of applied econometrics, 2021 - Wiley Online Library",8,https://onlinelibrary.wiley.com/doi/abs/10.1002/jae.2811,high,"Meijer et al. (2007): ""A mixture model approach to combining survey and register data""",Method not specified in abstract,"First, we replicate MRW's empirical analysis using the Swedish model …"
"Does disgust increase unethical behavior? A replication of winterich, mittal, and morales (2014)",2021,"T Kugler, CN Noussair","T Kugler, CN Noussair, D Hatch - Social Psychological and …, 2021 - journals.sagepub.com",8,https://journals.sagepub.com/doi/abs/10.1177/1948550620944083,high,"Winterich et al. (2014): ""Does Disgust Increase Unethical Behavior?""",Method not specified in abstract,Result not specified in abstract
A new algorithm for matching Chinese NBS firm-level with customs data,2021,"P Egger, SX Rao, S Papini","P Egger, SX Rao, S Papini - China economic journal, 2021 - Taylor & Francis",8,https://www.tandfonline.com/doi/abs/10.1080/17538963.2021.1963046,high,Not identifiable from abstract,Method not specified in abstract,"… In this section, we replicate the analysis of Yu and Tian (Citation2012) on the effects of the participation of Chinese firms in the further process"
Accounting for the declining economic effects of oil price shocks,2021,Y Lyu,"Y Lyu - Energy Economics, 2021 - Elsevier",8,https://www.sciencedirect.com/science/article/pii/S0140988320303558,medium,Not identifiable from abstract,Method not specified in abstract,Result not specified in abstract
Litigation risks and firms innovation dynamics after the IPO,2021,"E Forti, S Morricone, F Munari","E Forti, S Morricone, F Munari - … of Industrial and Business Economics, 2021 - Springer",8,https://link.springer.com/article/10.1007/s40812-020-00161-y,high,"Aggarwal et al. (2014): ""Entrepreneurial exits and innovation""; Bernstein & S. (2015): ""Does going public affect innovation?""; Wies et al. (2015): ""The impact of IPOs on innovation productivity""",Method not specified in abstract,directional effect found
Multivesta: statistical analysis of economic agent-based models by statistical model checking,2021,"A Vandin, D Giachini, F Lamperti","A Vandin, D Giachini, F Lamperti… - … Symposium: From Data to …, 2021 - Springer",8,https://link.springer.com/chapter/10.1007/978-3-031-16011-0_1,low,"Vandin et al. (2021): ""Automated and distributed statistical analysis of economic agent-based""","… We first replicate the results from the original contribution, scaling the runtime analysis from 15 days to 15 h thanks to the a",Result not specified in abstract
Value-based segmentation of generation Z women consumers of India: Replication and validation of model,2021,N Singh,"N Singh, S Nigam - Prabandhan: Indian Journal of Management, 2021 - researchgate.net",8,https://www.researchgate.net/profile/Neetu-Singh-3/publication/356890912_Value-Based_Segmentation_of_Generation_Z_Women_Consumers_of_India_Replication_and_Validation_of_Model/links/658197ba0bb2c7472bf8781d/Value-Based-Segmentation-of-Generation-Z-Women-Consumers-of-India-Replication-and-Validation-of-Model.pdf,high,"Wiedmann et al. (2009): ""Value-based segmentation of luxury consumption behavior""",Method not specified in abstract,Result not specified in abstract
Prudent discounting: experimental evidence on higher order time risk preferences,2021,S Ebert,"S Ebert - International Economic Review, 2021 - Wiley Online Library",8,https://onlinelibrary.wiley.com/doi/abs/10.1111/iere.12521,medium,"Harrison et al. (2008): ""Risk Aversion in the Small and in the Large""","… We replicate the widespread finding of outcome risk aversion, but—in a perfectly symmetric design—find substantial heterogeneity","… We replicate the widespread finding of outcome risk aversion, but—in a perfectly symmetric design—find substantial heterogeneity in delay risk avers"
Replication Redux: The reproducibility crisis and the case of deworming,2021,O Ozier,"O Ozier - The World Bank Research Observer, 2021 - academic.oup.com",8,https://academic.oup.com/wbro/article-abstract/36/1/101/6009048,high,Not identifiable from abstract,"… In this paper, I explore what it means to “replicate” and “… broader replication efforts in economics, then examine the key find",Result not specified in abstract
The effect of COVID-19-induced mortality salience on delay discounting: a replication,2021,F Sonmez,"F Sonmez - Journal of the Economic Science Association, 2021 - cambridge.org",7,https://www.cambridge.org/core/journals/journal-of-the-economic-science-association/article/effect-of-covid19induced-mortality-salience-on-delay-discounting-a-replication/86ACC2C34892B11C4D487CBBC2755AE7,high,"Kelley et al. (2015): ""Thinking about death reduces delay discounting""",Method not specified in abstract,opposite direction; significance noted; directional effect found; effect significance noted
Replication: Revisiting Tversky and Shafir's (1992) Disjunction Effect with an extension comparing between and within subject designs,2021,I Ziano,"I Ziano, MF Kong, HJ Kim, CY Liu, SC Wong… - Journal of Economic …, 2021 - Elsevier",7,https://www.sciencedirect.com/science/article/pii/S0167487020301070,high,"Tversky et al. (1992): ""The disjunction effect in choice under uncertainty""",Method not specified in abstract,Result not specified in abstract
Factor Investing in Sovereign Bond Markets: Deep Sample Evidence,2021,G Baltussen,"G Baltussen, MPE Martens, O Penninga - The Journal of Portfolio …, 2021 - pure.eur.nl",7,https://pure.eur.nl/en/publications/factor-investing-in-sovereign-bond-markets-deep-sample-evidence,high,"Fama et al. (1993): ""Common risk factors in the returns on stocks and bonds""; Baker et al. (2012): ""Comovement and predictability relationships between stock and bond ret""",Method not specified in abstract,Result not specified in abstract
